Durchflussarmatur,Artikelnummer,Artikelbezeichnung,Menge Statisch,Menge Formel,ET-HVB,ET-Sonden,DFM-HVB
K-DFM 5-42,2001178.0,GN Einschweißteil - DA 32 mm,,=sondenanzahl,DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 32,
K-DFM 5-42,2001178.0,GN Einschweißteil - DA 32 mm,,=sondenanzahl,,DA 32,
K-DFM 5-42,8000415.0,Heizdorn-Reduktion DA 50 / 32,,=sondenanzahl,,DA 50,
K-DFM 5-42,8000411.0,Heizdorn-Reduktion DA 32 / 25,,=sondenanzahl,,DA 25,
,,,,,,,
K-DFM 35-70,2001152.0,Durchflussarmatur Kunststoff - Durchflussmesser 35-70 l/min - Ohne Einlegeteil,,=sondenanzahl,,,
K-DFM 35-70,2001167.0,Absperrventil - KST - ZUB - KH32 - Überwurfmutter - SKS,,=sondenanzahl*2,,,
K-DFM 35-70,2001179.0,GN Einschweißteil - DA 63 mm,,=sondenanzahl,DA 63,,
K-DFM 35-70,2001177.0,GN Einschweißteil - DA 40 mm,,=sondenanzahl,,DA 40|DA 50,
K-DFM 35-70,2001178.0,GN Einschweißteil - DA 32 mm,,=sondenanzahl,DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 32,
K-DFM 35-70,2001178.0,GN Einschweißteil - DA 32 mm,,=sondenanzahl,,DA 32,
K-DFM 35-70,8000415.0,Heizdorn-Reduktion DA 50 / 32,,=sondenanzahl,,DA 50,
K-DFM 35-70,8000411.0,Heizdorn-Reduktion DA 32 / 25,,=sondenanzahl,,DA 25,
,,,,,,,
,,,,,,,
Brass Flowmeters,,,,,,,
,,,,,,,
HC VTR 20,2000129.0,Durchflussarmatur - Strangregulierventil DN 20 - Hydrocontrol,,=sondenanzahl,,,
HC VTR 20,2000048.0,"Übergangsstutzen Überwurfmutter PE100 DA 32 x 1""",,"=sondenanzahl*2 (if probe is 32 mm please use 1 pieces for ""Sonden"" (probes) and 1 piece for all HVB diameters",,DA 32,
HC VTR 20,2000050.0,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1""",,"=sondenanzahl*2 (if probe is 40 mm AND 50 mm please use 1 pieces for ""Sonden"" (probes) and 1 piece for all HVB diameters",,DA 40|DA50,
HC VTR 20,8000415.0,Heizdorn-Reduktion DA 50 / 32,,=sondenanzahl,,DA 50,
HC VTR 20,8000411.0,Heizdorn-Reduktion DA 32 / 25,,=sondenanzahl,,DA 25,
HC VTR 20,2000908.0,Anschluss-Set - Strangregulierventil - Hydrocontrol,,=sondenanzahl,,,
,,,,,,,
,,,,,,,
,,,,,,,
HC VTR 25,2000130.0,Durchflussarmatur - Strangregulierventil DN 25 - Hydrocontrol,,=sondenanzahl,,,
HC VTR 25,2000047.0,"Übergangsstutzen Überwurfmutter PE100 DA 32 x 1 1/4""",,=sondenanzahl (if probe is DA 32 mm),,DA 32,
HC VTR 25,2000049.0,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/4""",=sondenanzahl (for all HVB diameteres),=sondenanzahl (if probe is DA 40 mm),DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 40,
HC VTR 25,2000766.0,"Übergangsstutzen Überwurfmutter PE100 DA 50 x 1 1/4""",,=sondenanzahl (if probe is DA 50 mm),,DA 50,
HC VTR 25,2000908.0,Anschluss-Set - Strangregulierventil - Hydrocontrol,,=sondenanzahl,,,
,,,,,,,
,,,,,,,
,,,,,,,
HC VTR 32,2000132.0,Durchflussarmatur - Strangregulierventil DN 32 - Hydrocontrol,,=sondenanzahl,,,
HC VTR 32,2000765.0,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/2""",=sondenanzahl (for all HVB diameteres),=sondenanzahl (if probe is DA 40 mm),DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 40,
HC VTR 32,2000051.0,"Übergangsstutzen Überwurfmutter PE100 DA 50 x 1 1/2""",,=sondenanzahl (if probe is DA 50 mm),,DA 50,
HC VTR 32,2000908.0,Anschluss-Set - Strangregulierventil - Hydrocontrol,,=sondenanzahl,,,
,,,,,,,
,,,,,,,
,,,,,,,
HC VTR 40,2000133.0,Durchflussarmatur - Strangregulierventil DN 40 - Hydrocontrol,,=sondenanzahl,,,
HC VTR 40,2000810.0,Hydrocontrol VTR - Tüllen mit Außengewinde DN 40,,=sondenanzahl,,,
HC VTR 40,2000765.0,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/2""",=sondenanzahl (for all HVB diameteres),=sondenanzahl (if probe is DA 40 mm),DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 40,
HC VTR 40,2000051.0,"Übergangsstutzen Überwurfmutter PE100 DA 50 x 1 1/2""",,=sondenanzahl (if probe is DA 50 mm),,DA 50,
HC VTR 40,2000908.0,Anschluss-Set - Strangregulierventil - Hydrocontrol,,=sondenanzahl,,,
,,,,,,,
,,,,,,,
,,,,,,,
IMI STAD A 20,2001596.0,Durchflussarmatur - Strangregulierventil DN 20 - IMI,,=sondenanzahl,,,
IMI STAD A 20,2000048.0,"Übergangsstutzen Überwurfmutter PE100 DA 32 x 1""",=sondenanzahl (for all HVB diameteres),=sondenanzahl (if probe is DA 32 mm),DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 32|DA 50,
IMI STAD A 20,2000050.0,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1""",,=sondenanzahl (if probe is DA 40 mm),,DA 40,
IMI STAD A 20,8000415.0,Heizdorn-Reduktion DA 50 / 32,,=sondenanzahl (if probe is DA 50 mm),,DA 50,
IMI STAD A 20,8000411.0,Heizdorn-Reduktion DA 32 / 25,,=sondenanzahl,,DA 50,
,,,,=sondenanzahl,,DA 25,
,,,,,,,
IMI STAD A 25,2001267.0,Durchflussarmatur - Strangregulierventil DN 25 - IMI,,,,,
IMI STAD A 25,2000047.0,"Übergangsstutzen Überwurfmutter PE100 DA 32 x 1 1/4""",,=sondenanzahl (if probe is DA 32 mm),,DA 32,
IMI STAD A 25,2000049.0,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/4""",=sondenanzahl (for all HVB diameteres),=sondenanzahl (if probe is DA 40 mm),DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 40,
IMI STAD A 25,2000766.0,"Übergangsstutzen Überwurfmutter PE100 DA 50 x 1 1/4""",,=sondenanzahl (if probe is DA 50 mm),,DA 50,
,,,,,,,
,,,,,,,
,,,,,,,
IMI STAD A 32,2001272.0,Durchflussarmatur - Strangregulierventil DN 32 - IMI,,,,,
IMI STAD A 32,2000765.0,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/2""",=sondenanzahl (for all HVB diameteres),=sondenanzahl (if probe is DA 40 mm),DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 40,
IMI STAD A 32,2000051.0,"Übergangsstutzen Überwurfmutter PE100 DA 50 x 1 1/2""",,=sondenanzahl (if probe is DA 50 mm),,DA 50,
,,,,,,,
,,,,,,,
IMI TA-Compact P 25,2001738.0,Durchflussarmatur - Druckunabhängiges Regelventil - DN 25 - IMI,,,,,
IMI TA-Compact P 25,2000047.0,"Übergangsstutzen Überwurfmutter PE100 DA 32 x 1 1/4""",,=sondenanzahl (if probe is DA 32 mm),,DA 32,
IMI TA-Compact P 25,2000049.0,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/4""",=sondenanzahl (for all HVB diameteres),=sondenanzahl (if probe is DA 40 mm),DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 40,
IMI TA-Compact P 25,2000766.0,"Übergangsstutzen Überwurfmutter PE100 DA 50 x 1 1/4""",,=sondenanzahl (if probe is DA 50 mm),,DA 50,
